GROUP,PACKAGE,CLASS,BRANCH_COVERED,LINE_COVERED, MUTATION,M_RANK,L_RANK,d,d^2,B_RANK,d,d^2
Apache Commons Collections,org.apache.commons.collections4.iterators,FilterListIterator,30,58,88%,85,34,51,2601,32,53,2809
Apache Commons Collections,org.apache.commons.collections4.iterators,CollatingIterator,39,87,77%,126,19,107,11449,24,102,10404
Apache Commons Collections,org.apache.commons.collections4.iterators,ZippingIterator,13,34,100%,1,58,-57,3249,68,-67,4489
Apache Commons Collections,org.apache.commons.collections4.iterators,PermutationIterator,34,45,89%,82,43,39,1521,29,53,2809
Apache Commons Collections,org.apache.commons.collections4.iterators,PushbackIterator,7,12,90%,79,168,-89,7921,101,-22,484
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorEnumeration,0,6,100%,1,220,-219,47961,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.iterators,EntrySetMapIterator,0,0,0%,219,264,-45,2025,196,23,529
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyOrderedIterator,0,4,100%,1,236,-235,55225,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.iterators,ArrayIterator,10,28,82%,114,70,44,1936,79,35,1225
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractEmptyIterator,0,12,100%,1,168,-167,27889,196,-195,38025
Apache Commons Collections,org.apache.commons.collections4.iterators,ListIteratorWrapper,32,61,90%,79,33,46,2116,30,49,2401
