GROUP,PACKAGE,CLASS,BRANCH_COVERED,LINE_COVERED,MUTATION,M_LINK,L_LINK,d,d^2,B_LINK,d,d^2
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ConstantLookup,7,32,85%,135,77,58,3364,96,39,1521
Apache Commons Configuration,org.apache.commons.configuration2.interpol,StringLookupAdapter,0,4,100%,1,164,-163,26569,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ConfigurationInterpolator,44,84,100%,1,30,-29,841,22,-21,441
Apache Commons Configuration,org.apache.commons.configuration2.interpol,SystemPropertiesLookup,0,0,0%,173,173,0,0,136,37,1369
Apache Commons Configuration,org.apache.commons.configuration2.interpol,EnvironmentLookup,0,0,0%,173,173,0,0,136,37,1369
Apache Commons Configuration,org.apache.commons.configuration2.interpol,DefaultLookups,0,34,100%,1,72,-71,5041,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.interpol,InterpolatorSpecification,0,14,100%,1,126,-125,15625,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.interpol,DummyLookup,0,3,100%,1,165,-164,26896,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.web,ServletConfiguration,0,8,100%,1,144,-143,20449,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.web,BaseWebConfiguration,8,10,100%,1,137,-136,18496,89,-88,7744
Apache Commons Configuration,org.apache.commons.configuration2.web,AppletConfiguration,0,0,100%,1,173,-172,29584,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.web,ServletContextConfiguration,0,9,100%,1,141,-140,19600,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.web,ServletFilterConfiguration,0,6,100%,1,156,-155,24025,136,-135,18225
Apache Commons Configuration,org.apache.commons.configuration2.web,ServletRequestConfiguration,8,16,100%,1,117,-116,13456,89,-88,7744
Apache Commons Configuration,org.apache.commons.configuration2.spring,ConfigurationPropertiesFactoryBean,19,30,75%,146,81,65,4225,54,92,8464
Apache Commons Configuration,org.apache.commons.configuration2.spring,ConfigurationPropertySource,0,3,33%,165,165,0,0,136,29,841
,,,,,,,,,,,,
,,,,,,,,sum of d^2,1715476,,sum of d^2,1523632
,,,,,,,,numerator,10292856,,numerator,9141792
,,,,,,,,,,,,
,,,,,,,,n,178,,n,178
,,,,,,,,n^3,5639752,,n^3,5639752
,,,,,,,,denominator,5639574,,denominator,5639574
,,,,,,,,,,,,
,,,,,,,,r,-0.825112322,,r,-0.621007544
