GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,COMPLEXITY_TOTAL,BRANCH_RANK,LINE_RANK,CC_RANK,d_Branch,d_Line,d^2_Branch,d^2_Line
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,17,0,0,1,79,2,28,0,16,30,234,35,49,185,-14,34225,196
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,25,0,0,0,4,0,2,0,2,2,235,234,243,-8,-9,64,81
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,21,0,0,5,82,3,46,0,21,49,236,33,26,210,7,44100,49
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,21,0,0,0,3,0,2,0,2,2,237,250,243,-6,7,36,49
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new SynchronizerSupport() {...},3,5,0,0,0,27,0,14,0,10,14,238,102,101,137,1,18769,1
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,17,0,0,0,2,0,2,0,2,2,239,267,243,-4,24,16,576
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,17,0,0,0,10,0,6,0,6,6,240,176,162,78,14,6084,196
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandlerListenerAdapter,0,8,0,0,0,18,0,13,0,9,13,241,139,110,131,29,17161,841
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,17,0,0,0,7,0,4,0,4,4,242,199,196,46,3,2116,9
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,23,0,0,0,61,0,29,0,17,29,243,48,52,191,-4,36481,16
